연월,시도,전입,전출,순이동,연도,월
2017-10,서울,109323,120064,-10741,2017,10
2017-10,세종,5820,3365,2455,2017,10
2017-10,울산,11057,11318,-261,2017,10
2017-10,인천,31642,31514,128,2017,10
2017-10,전남,15183,15405,-222,2017,10
2017-10,전북,14990,15565,-575,2017,10
2017-10,제주,7107,5793,1314,2017,10
2017-10,충남,19693,18413,1280,2017,10
2017-10,충북,13354,13116,238,2017,10
2017-11,강원,19835,18306,1529,2017,11
2017-11,경기,164794,151095,13699,2017,11
2017-11,경남,32808,31429,1379,2017,11
2017-11,경북,26795,26371,424,2017,11
2017-11,광주,17362,17986,-624,2017,11
2017-11,대구,32466,33341,-875,2017,11
2017-11,대전,16522,18273,-1751,2017,11
2017-11,부산,33845,37390,-3545,2017,11
2017-11,서울,114057,128744,-14687,2017,11
2017-11,세종,6252,3651,2601,2017,11
2017-11,울산,11724,12307,-583,2017,11
2017-11,인천,35420,35701,-281,2017,11
2017-11,전남,18721,18570,151,2017,11
2017-11,전북,18866,19331,-465,2017,11
2017-11,제주,8670,7546,1124,2017,11
2017-11,충남,23385,22073,1312,2017,11
2017-11,충북,15944,15352,592,2017,11
2017-12,강원,21160,20021,1139,2017,12
2017-12,경기,165766,152802,12964,2017,12
2017-12,경남,36498,35017,1481,2017,12
2017-12,경북,28310,27957,353,2017,12
2017-12,광주,17089,19758,-2669,2017,12
2017-12,대구,28235,29649,-1414,2017,12
2017-12,대전,18301,20584,-2283,2017,12
2017-12,부산,34046,37752,-3706,2017,12
2017-12,서울,111705,126423,-14718,2017,12
2017-12,세종,7115,4056,3059,2017,12
2017-12,울산,11977,12412,-435,2017,12
2017-12,인천,36138,36128,10,2017,12
2017-12,전남,24976,22532,2444,2017,12
2017-12,전북,23902,22914,988,2017,12
2017-12,제주,8904,7884,1020,2017,12
2017-12,충남,23237,21923,1314,2017,12
2017-12,충북,17891,17438,453,2017,12
2018-01,강원,21088,22708,-1620,2018,1
2018-01,경기,178928,164821,14107,2018,1
2018-01,경남,39383,39386,-3,2018,1
2018-01,경북,29327,31382,-2055,2018,1
2018-01,광주,20458,20319,139,2018,1
2018-01,대구,28490,29154,-664,2018,1
2018-01,대전,20467,21511,-1044,2018,1
2018-01,부산,35923,38872,-2949,2018,1
2018-01,서울,119120,126275,-7155,2018,1
2018-01,세종,7436,4557,2879,2018,1
2018-01,울산,13415,14162,-747,2018,1
2018-01,인천,42813,40930,1883,2018,1
2018-01,전남,22457,24787,-2330,2018,1
2018-01,전북,23420,25710,-2290,2018,1
2018-01,제주,13090,12052,1038,2018,1
2018-01,충남,27368,26298,1070,2018,1
2018-01,충북,19100,19359,-259,2018,1
2018-02,강원,20077,21543,-1466,2018,2
2018-02,경기,193015,177473,15542,2018,2
