시도,연월,KB_매수우위지수,KB_매매거래지수,KB_전세수급지수,연도,월
서울,2023-01,20.90516859,1.6220567,44.98820914,2023,1
세종,2023-01,30.43478249,6.52173908,43.47826076,2023,1
울산,2023-01,10.89102125,3.40727243,69.75280038,2023,1
인천,2023-01,12.57896472,2.00335145,42.91448889,2023,1
전남,2023-01,34.3275965,3.15325691,107.59615102,2023,1
전북,2023-01,24.71138294,0.69440308,97.14312259,2023,1
제주,2023-01,13.88650657,7.39470127,58.34048075,2023,1
충남,2023-01,16.47699559,3.08041645,95.34897388,2023,1
충북,2023-01,18.86558116,4.65790196,101.18758675,2023,1
강원,2023-02,50.66823949,9.46054635,109.18649761,2023,2
경기,2023-02,19.57761742,9.03317825,53.41061772,2023,2
경남,2023-02,23.67320943,11.52860511,101.80403007,2023,2
경북,2023-02,27.91071316,8.61176496,111.32354868,2023,2
광주,2023-02,12.74787664,4.94360887,72.34366581,2023,2
대구,2023-02,10.91168254,3.95029319,37.73400437,2023,2
대전,2023-02,13.91157418,6.44997304,61.44316583,2023,2
부산,2023-02,9.46511394,5.07564285,56.1544298,2023,2
서울,2023-02,25.14557926,6.28563076,51.10483992,2023,2
세종,2023-02,41.50943402,39.62264138,58.49056614,2023,2
울산,2023-02,18.93436298,6.91691609,81.15657216,2023,2
인천,2023-02,16.25764275,9.65123484,47.95607169,2023,2
전남,2023-02,26.52265863,7.2197361,111.25978473,2023,2
전북,2023-02,23.66939559,6.71929969,104.74651012,2023,2
제주,2023-02,23.23535529,3.52928924,61.32270185,2023,2
충남,2023-02,21.40137382,7.29622841,96.45096115,2023,2
충북,2023-02,35.24556784,11.9035833,112.85634697,2023,2
강원,2023-03,42.9719363,5.02941541,117.38330598,2023,3
경기,2023-03,18.05478468,9.26932566,61.41772421,2023,3
경남,2023-03,32.78800977,11.72726379,108.79518724,2023,3
경북,2023-03,31.98810176,8.0231305,106.5967522,2023,3
광주,2023-03,8.2459998,3.18719169,68.02184381,2023,3
대구,2023-03,12.19642817,7.46121347,37.12777881,2023,3
대전,2023-03,10.82373204,4.84942988,64.84540602,2023,3
부산,2023-03,11.56064096,4.37741915,60.67581074,2023,3
서울,2023-03,26.74999037,5.18532077,63.17765815,2023,3
세종,2023-03,50.0,30.76923075,67.30769216,2023,3
울산,2023-03,19.58965726,8.61107051,76.70067965,2023,3
인천,2023-03,19.51123137,9.253472,50.32678561,2023,3
전남,2023-03,26.46490297,12.13917136,117.80100429,2023,3
전북,2023-03,35.88982265,4.64203508,101.9814824,2023,3
제주,2023-03,17.23556373,3.88221813,74.38107227,2023,3
충남,2023-03,24.41415054,12.53874301,102.12620885,2023,3
충북,2023-03,22.17701239,13.32023599,119.5231835,2023,3
강원,2023-04,34.84472369,5.28485739,112.54434617,2023,4
경기,2023-04,22.63409583,10.34889859,65.82053008,2023,4
경남,2023-04,33.48353872,10.06331895,108.66285839,2023,4
경북,2023-04,30.88008767,7.37703075,118.3096147,2023,4
광주,2023-04,7.79811797,5.35774986,66.94487658,2023,4
대구,2023-04,9.02343496,5.48348507,41.34304029,2023,4
대전,2023-04,17.22330966,6.90893639,86.68416078,2023,4
부산,2023-04,13.64139303,5.4557852,60.64056813,2023,4
서울,2023-04,28.23392089,6.34346739,70.60721873,2023,4
세종,2023-04,39.21568619,23.52941169,64.70588229,2023,4
울산,2023-04,23.36399258,3.44409697,79.70641295,2023,4
인천,2023-04,17.24797063,11.65306164,56.00073977,2023,4
전남,2023-04,15.75537012,2.85435792,113.31289364,2023,4
전북,2023-04,22.49327194,3.41889886,96.36003406,2023,4
제주,2023-04,25.0,3.88781835,67.2243633,2023,4
충남,2023-04,22.22799093,10.51442317,95.23888865,2023,4
충북,2023-04,18.86147857,6.54638919,111.00162542,2023,4
강원,2023-05,41.84996672,9.41557396,119.6642055,2023,5
경기,2023-05,25.48775616,12.67078422,72.93239142,2023,5
경남,2023-05,27.12454531,14.24119995,117.30601335,2023,5
경북,2023-05,29.32281727,5.16087006,118.25139241,2023,5
광주,2023-05,7.9717782,5.79367639,76.35523831,2023,5
대구,2023-05,13.25355162,8.30717427,45.10913235,2023,5
대전,2023-05,15.53320621,7.20278206,92.69606564,2023,5
부산,2023-05,12.5345808,6.65375608,64.2181118,2023,5
서울,2023-05,32.2358603,8.09603713,80.3746719,2023,5
세종,2023-05,41.50943397,22.64150941,77.35849048,2023,5
울산,2023-05,31.93210815,8.83062731,80.71814603,2023,5
인천,2023-05,24.93317985,8.36540839,63.4847499,2023,5
전남,2023-05,16.7028662,4.1544791,117.94328092,2023,5
전북,2023-05,37.04502473,4.59332723,107.56364827,2023,5
제주,2023-05,14.44390918,7.7756367,80.56090824,2023,5
충남,2023-05,22.29217451,8.85979043,95.36661601,2023,5
충북,2023-05,21.45215146,11.49048601,134.13543743,2023,5
