연월,시도,지가변동률,연도,월
2015-09,부산,0.224,2015,9
2015-09,서울,0.22,2015,9
2015-09,세종,0.403,2015,9
2015-09,울산,0.214,2015,9
2015-09,인천,0.174,2015,9
2015-09,전국,0.191,2015,9
2015-09,전남,0.244,2015,9
2015-09,전북,0.194,2015,9
2015-09,제주,0.354,2015,9
2015-09,충남,0.098,2015,9
2015-09,충북,0.148,2015,9
2015-10,강원,0.25,2015,10
2015-10,경기,0.18,2015,10
2015-10,경남,0.22,2015,10
2015-10,경북,0.216,2015,10
2015-10,광주,0.231,2015,10
2015-10,대구,0.371,2015,10
2015-10,대전,0.365,2015,10
2015-10,부산,0.259,2015,10
2015-10,서울,0.241,2015,10
2015-10,세종,0.39,2015,10
2015-10,울산,0.147,2015,10
2015-10,인천,0.182,2015,10
2015-10,전국,0.223,2015,10
