지역코드,시도,시군구,레벨,연도,1인당결정세액_백만원,1인당총급여_백만원,결정세액_금액,결정세액_인원,과세표준_금액,과세표준_인원,급여총계_금액,급여총계_인원,총급여_금액,총급여_인원
A1201,대구,남구,시군구,2016,1.6474787818272592,24.927240014393668,32999,20030,491741,35081,1046161,41849,1039092,41685
A1202,대구,달서구,시군구,2016,2.276621984422878,31.210271479092988,239981,105411,3055081,168152,6040477,193070,6001111,192280
A1203,대구,달성군,시군구,2016,1.4982058058832377,29.31809474562527,69725,46539,1196030,74914,2512182,85326,2494706,85091
A1204,대구,동구,시군구,2016,1.745267250463283,28.44596352938958,96063,55042,1458516,91505,3040216,106449,3016922,106058
A1205,대구,북구,시군구,2016,1.7753103370975425,28.50838193994383,126711,71374,1910438,120129,3984844,139339,3958959,138870
A1206,대구,서구,시군구,2016,0.8913855014754506,22.592874783248384,25072,28127,568615,48750,1301973,57329,1289895,57093
A1207,대구,수성구,시군구,2016,5.01343498495796,41.49513185353823,389955,77782,3189676,115550,5498130,132269,5468021,131775
A1208,대구,중구,시군구,2016,2.370303961748634,30.06540074872581,27761,11712,340683,19045,671294,22250,666580,22171
A1301,경북,경산시,시군구,2016,1.593351142772336,27.79768557854553,69784,43797,1116140,72101,2343456,84368,2322858,83563
A1302,경북,경주시,시군구,2016,2.4451832765356163,32.6714974674648,117672,48124,1435525,71984,2714460,83308,2696248,82526
A1303,경북,고령군,시군구,2016,1.2840660433658246,25.566627295178783,6455,5027,113988,8117,240270,9347,238102,9313
A1304,경북,구미시,시군구,2016,2.553683368158983,34.54531560546529,229760,89972,2800472,134574,5298589,153040,5266537,152453
A1305,경북,군위군,시군구,2016,1.9242214532871973,29.124189240747807,5561,2890,77415,4505,153885,5383,152669,5242
A1306,경북,김천시,시군구,2016,2.1917802438921474,32.44960438661889,51943,23699,695888,36433,1360616,41839,1349287,41581
A1307,경북,문경시,시군구,2016,1.8391400220507168,29.11889012468536,16681,9070,245665,14807,500559,17265,497438,17083
A1308,경북,봉화군,시군구,2016,1.7785488958990536,28.67430578788893,5638,3170,84172,5139,172890,6155,171415,5978
A1309,경북,상주시,시군구,2016,1.7763074413124265,28.700411099691674,19598,11033,301503,18306,618290,21596,614361,21406
A1310,경북,성주군,시군구,2016,1.4258041585214145,25.70537147172661,8023,5627,133263,8863,274600,10828,272297,10593
A1311,경북,안동시,시군구,2016,2.1210076284684383,31.199727192860777,50603,23858,683900,37889,1355633,43506,1349513,43254
A1312,경북,영덕군,시군구,2016,1.562850729517396,25.71523178807947,5570,3564,91441,6039,192620,7499,190267,7399
A1313,경북,영양군,시군구,2016,1.784919653893696,29.69762779819579,2888,1618,44124,2525,89397,3017,88885,2993
A1314,경북,영주시,시군구,2016,2.0466005665722378,30.89960525316936,28898,14120,413108,22735,819345,26652,814081,26346
A1315,경북,영천시,시군구,2016,1.431967428421329,27.2536881689326,21806,15228,367625,24014,760063,27854,753728,27656
A1316,경북,예천군,시군구,2016,1.951048951048951,31.90833075255497,10602,5434,155388,8507,311215,9924,309096,9687
A1317,경북,울릉군,시군구,2016,2.032758620689655,34.6480055983205,3537,1740,51584,2607,100077,2861,99024,2858
A1318,경북,울진군,시군구,2016,2.7485518694049498,34.34865540963102,20878,7596,239510,11089,443066,12913,439388,12792
A1319,경북,의성군,시군구,2016,1.4622735417081425,26.21914893617021,7345,5023,124660,8254,261041,10407,258783,9870
A1320,경북,청도군,시군구,2016,1.7847596249750648,27.365546218487395,8947,5013,128365,8194,262942,9754,260520,9520
A1321,경북,청송군,시군구,2016,1.6761751707513055,27.55933238347242,4172,2489,65982,3936,136190,5085,135399,4913
A1322,경북,칠곡군,시군구,2016,1.7612279025322504,30.59609302325581,44235,25116,663762,37766,1324995,43151,1315632,43000
A1323,경북,포항시,시군구,2016,3.032510967293576,36.51327105195802,279270,92092,3087804,137601,5751080,157106,5706294,156280
A1401,부산,강서구,시군구,2016,2.4251649454962707,34.42520516600295,67633,27888,824163,40637,1579117,45651,1564660,45451
A1402,부산,금정구,시군구,2016,3.0983527243405136,33.02469342108646,134484,43405,1384515,67615,2594538,78078,2569123,77794
A1403,부산,기장군,시군구,2016,2.264869506776687,31.142403565512343,60660,26783,793541,43715,1601990,50804,1579169,50708
A1404,부산,남구,시군구,2016,2.9956750010758704,32.36998484671873,139221,46474,1472478,74097,2812800,86014,2777021,85790
A1405,부산,동구,시군구,2016,1.4388596560119375,24.83764633394948,18321,12733,304241,21791,656434,26053,644984,25968
A1406,부산,동래구,시군구,2016,2.80066735844066,33.10418842224745,137650,49149,1542188,76653,2948188,88318,2916479,88100
A1407,부산,부산진구,시군구,2016,2.0851518841122663,29.04658100235508,133579,64062,1760026,104352,3553360,121234,3515072,121015
A1408,부산,북구,시군구,2016,2.025958191231821,30.100067430883342,114651,56591,1566885,90608,3154359,104063,3124688,103810
A1409,부산,사상구,시군구,2016,1.2740852246410377,25.96526408064869,55015,43180,1002650,70877,2154402,82280,2132631,82134
A1410,부산,사하구,시군구,2016,1.7260106425224366,28.189623224212475,108661,62955,1630199,102262,3377297,118432,3331647,118187
A1411,부산,서구,시군구,2016,2.15795040545305,28.0472027972028,36724,17018,461320,27849,933653,32686,914451,32604
A1412,부산,수영구,시군구,2016,2.800958466453674,31.12992492078799,87670,31300,950424,50159,1831790,58200,1807777,58072
A1413,부산,연제구,시군구,2016,2.706863062479767,32.49797264180368,100338,37068,1147633,58392,2211671,67486,2188056,67329
A1414,부산,영도구,시군구,2016,1.676299653425753,25.948784492346803,31439,18755,474412,31818,1013811,37859,979878,37762
A1415,부산,중구,시군구,2016,1.2590185245368866,22.42896852227481,7748,6154,136871,10946,307516,13391,298552,13311
A1416,부산,해운대구,시군구,2016,5.066963048955846,38.90330367249639,384091,75803,3030579,115770,5244328,133695,5189584,133397
A1501,울산,남구,시군구,2016,4.555447571658115,42.83522118157416,351553,77172,3063809,107485,5183803,120584,5154405,120331
A1502,울산,동구,시군구,2016,3.253505400356445,39.930593253198914,151519,46571,1648006,65159,2907241,72288,2883468,72212
A1503,울산,북구,시군구,2016,4.0671175651482,44.60409583196587,204454,50270,1989555,68901,3414807,76290,3397717,76175
A1504,울산,울주군,시군구,2016,3.127195550351288,36.57333895856505,149555,47824,1587924,69300,2881121,78354,2860730,78219
A1505,울산,중구,시군구,2016,3.9649299372919407,40.27785520340245,204860,51668,1943843,73688,3372323,83412,3352487,83234
A1601,경남,거제시,시군구,2016,3.4772096771693817,40.1165952117154,224360,64523,2423994,92717,4178112,103945,4163902,103795
A1602,경남,거창군,시군구,2016,1.7776461295418642,29.27233039983369,13503,7596,207111,12650,424864,14480,422429,14431
A1603,경남,고성군,시군구,2016,1.4272219836839846,26.716315172817808,9972,6987,174813,11660,368228,13749,364838,13656
A1604,경남,김해시,시군구,2016,1.9945466121635465,30.692116250848432,216155,108373,3008548,170000,6015627,194862,5968880,194476
A1605,경남,남해군,시군구,2016,1.699885452462772,27.63367231638418,7420,4365,118177,7583,248099,8994,244558,8850
A1606,경남,밀양시,시군구,2016,1.685851318944844,27.31494268989449,24605,14595,382748,23954,785258,28962,779268,28529
A1607,경남,사천시,시군구,2016,2.210010427528676,31.46725571725572,42388,19180,559957,30346,1098570,34835,1089774,34632
A1608,경남,산청군,시군구,2016,1.815910249872514,28.542020774315397,7122,3922,104999,6328,213093,7434,211582,7413
A1609,경남,양산시,시군구,2016,1.68663545756569,29.88341931845917,111689,66220,1740314,104329,3585156,119260,3550718,118819
A1610,경남,의령군,시군구,2016,1.4823801270941652,28.43894753426816,5132,3462,88403,5583,181636,6372,180502,6347
A1611,경남,진주시,시군구,2016,2.5418475618955028,33.42346562198376,151639,59657,1846460,92683,3554711,106070,3532125,105678
A1612,경남,창녕군,시군구,2016,1.4505924672027084,27.166261855193152,13711,9452,229719,14794,473352,17338,469759,17292
A1613,경남,창원시,시군구,2016,2.6638010328844937,34.93731041456016,593684,222871,6967316,331577,13161389,374425,13061034,373842
A1614,경남,통영시,시군구,2016,1.5300161685703857,27.63770522537965,29335,19173,493717,32024,1040989,37407,1031909,37337
A1615,경남,하동군,시군구,2016,1.7761875129641154,28.2964671349198,8563,4821,132072,8124,271630,9581,269920,9539
