시군구코드,시군구,시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
51770,정선군,51,강원,2019,37271,19360,17911,2953,1675,1278,3373,1907,1466,5102,2956,2146,21253,10441,10812
51770,정선군,51,강원,2020,36870,19174,17696,2820,1608,1212,3078,1724,1354,4978,2901,2077,21714,10726,10988
51770,정선군,51,강원,2021,35675,18565,17110,2625,1532,1093,2755,1528,1227,4626,2656,1970,21629,10774,10855
51770,정선군,51,강원,2022,34931,18264,16667,2490,1481,1009,2498,1406,1092,4453,2548,1905,21718,10908,10810
51770,정선군,51,강원,2023,34202,17844,16358,2291,1349,942,2316,1304,1012,4174,2361,1813,21867,11033,10834
51770,정선군,51,강원,2024,33515,17475,16040,2139,1261,878,2177,1239,938,3871,2159,1712,22002,11141,10861
51780,철원군,51,강원,2011,48084,24949,23135,6194,3931,2263,6440,3457,2983,7306,3930,3376,17919,8292,9627
51780,철원군,51,강원,2012,47968,24776,23192,5943,3709,2234,6398,3421,2977,7219,3893,3326,18433,8569,9864
51780,철원군,51,강원,2013,47473,24418,23055,5570,3457,2113,6152,3295,2857,7143,3854,3289,18960,8815,10145
51780,철원군,51,강원,2014,47590,24676,22914,5983,3872,2111,5857,3127,2730,7054,3815,3239,19321,8997,10324
51780,철원군,51,강원,2015,48799,25971,22828,7443,5236,2207,5710,3062,2648,6895,3771,3124,19792,9245,10547
51780,철원군,51,강원,2016,48013,25429,22584,7135,4937,2198,5497,2981,2516,6633,3595,3038,20140,9472,10668
51780,철원군,51,강원,2017,47185,24886,22299,6885,4678,2207,5208,2828,2380,6453,3497,2956,20424,9632,10792
51780,철원군,51,강원,2018,46413,24408,22005,6630,4469,2161,5042,2742,2300,6162,3325,2837,20780,9821,10959
51780,철원군,51,강원,2019,45584,23767,21817,6138,4036,2102,4876,2644,2232,5960,3206,2754,21111,9998,11113
51780,철원군,51,강원,2020,44699,23216,21483,5846,3789,2057,4687,2583,2104,5687,3036,2651,21319,10137,11182
51780,철원군,51,강원,2021,43340,22453,20887,5242,3389,1853,4496,2496,2000,5483,2905,2578,21335,10221,11114
51780,철원군,51,강원,2022,42256,21863,20393,4799,3042,1757,4412,2485,1927,5161,2703,2458,21524,10371,11153
51780,철원군,51,강원,2023,41448,21478,19970,4532,2881,1651,4259,2430,1829,4890,2575,2315,21825,10524,11301
51780,철원군,51,강원,2024,40497,20922,19575,4128,2593,1535,4162,2398,1764,4595,2414,2181,22032,10657,11375
51110,춘천시,51,강원,2011,272805,134600,138205,34594,17867,16727,39691,19797,19894,46947,23836,23111,89456,40818,48638
51110,춘천시,51,강원,2012,273364,134874,138490,33970,17689,16281,38989,19317,19672,46653,23715,22938,93060,42599,50461
51110,춘천시,51,강원,2013,274455,135377,139078,33649,17513,16136,38202,19062,19140,46959,23803,23156,96213,44126,52087
51110,춘천시,51,강원,2014,275791,136017,139774,33830,17664,16166,37270,18594,18676,46915,23665,23250,99653,45914,53739
51110,춘천시,51,강원,2015,277997,136974,141023,34843,18254,16589,36823,18512,18311,46563,23321,23242,102837,47422,55415
51110,춘천시,51,강원,2016,280707,138251,142456,35805,18660,17145,36790,18513,18277,46236,23042,23194,106266,49168,57098
51110,춘천시,51,강원,2017,280514,138159,142355,36418,19071,17347,36073,18146,17927,45081,22410,22671,109444,50743,58701
51110,춘천시,51,강원,2018,280640,138243,142397,36518,19248,17270,35515,17875,17640,43878,21841,22037,112943,52513,60430
51110,춘천시,51,강원,2019,281291,138700,142591,36965,19614,17351,34841,17621,17220,42827,21262,21565,116412,54238,62174
51110,춘천시,51,강원,2020,282765,139576,143189,37345,19930,17415,34254,17487,16767,42476,20992,21484,120084,56064,64020
51110,춘천시,51,강원,2021,284594,140584,144010,37437,20039,17398,34379,17625,16754,41949,20733,21216,123527,57725,65802
51110,춘천시,51,강원,2022,286664,141490,145174,37416,20027,17389,34393,17757,16636,41649,20493,21156,126832,59352,67480
