시도코드,시도,연도,총인구,남자인구,여자인구,20대,남_20대,여_20대,30대,남_30대,여_30대,40대,남_40대,여_40대,50대이상,남_50대이상,여_50대이상
47,경북,2019,2665836,1342037,1323799,294550,165620,128930,306807,163100,143707,391533,204587,186946,1237014,581258,655756
47,경북,2020,2639422,1329211,1310211,284163,160830,123333,291117,155283,135834,383508,200206,183302,1265149,596493,668656
47,경북,2021,2626609,1323661,1302948,276021,156417,119604,279475,149655,129820,377180,196384,180796,1293454,612821,680633
47,경북,2022,2600492,1311881,1288611,261320,148701,112619,268368,144472,123896,369977,192241,177736,1315129,625916,689213
47,경북,2023,2554324,1290298,1264026,248255,142133,106122,259154,140706,118448,357366,186024,171342,1320312,629668,690644
47,경북,2024,2531384,1280547,1250837,235821,135339,100482,255763,140152,115611,344000,179173,164827,1339789,640979,698810
29,광주,2011,1463464,725606,737858,201043,103088,97955,241669,120445,121224,251849,126078,125771,387928,177685,210243
29,광주,2012,1469216,728406,740810,197582,101787,95795,239308,119434,119874,254480,127202,127278,405323,186255,219068
29,광주,2013,1472910,730216,742694,196390,101568,94822,234845,117598,117247,257153,128190,128963,421474,194327,227147
29,광주,2014,1475884,731339,744545,197540,102607,94933,227820,114241,113579,260090,129505,130585,437607,202238,235369
29,광주,2015,1472199,729662,742537,198686,103425,95261,221036,110965,110071,258049,128541,129508,453723,210112,243611
29,광주,2016,1469214,728137,741077,201402,105349,96053,213395,107247,106148,255953,127153,128800,469903,218328,251575
29,광주,2017,1463770,725295,738475,203610,106689,96921,205522,103442,102080,253204,125703,127501,485754,225944,259810
29,광주,2018,1459336,722581,736755,205743,107730,98013,200420,101066,99354,246391,122452,123939,503618,234478,269140
29,광주,2019,1456468,720740,735728,207448,108393,99055,192943,97812,95131,244566,121383,123183,520561,242690,277871
29,광주,2020,1450062,717348,732714,209375,109335,100040,185867,94869,90998,240867,119545,121322,537117,250654,286463
29,광주,2021,1441611,713015,728596,206472,107781,98691,181189,92783,88406,236167,117383,118784,551314,257695,293619
29,광주,2022,1431050,707299,723751,198619,103581,95038,177417,91171,86246,232740,115729,117011,564440,263900,300540
29,광주,2023,1419237,700896,718341,190905,99724,91181,174075,89847,84228,227259,113235,114024,579694,270874,308820
29,광주,2024,1408422,695224,713198,182033,94953,87080,173762,90216,83546,219511,109527,109984,594861,278178,316683
27,대구,2011,2507271,1251577,1255694,332377,179130,153247,386634,191886,194748,454496,224925,229571,766298,352963,413335
27,대구,2012,2505644,1249320,1256324,325973,177562,148411,378294,187709,190585,450176,222197,227979,799990,369325,430665
27,대구,2013,2501588,1246071,1255517,322547,176950,145597,367519,183051,184468,450744,221855,228889,826928,382311,444617
27,대구,2014,2493264,1241119,1252145,323936,178208,145728,353237,176611,176626,446088,219647,226441,854383,395568,458815
27,대구,2015,2487829,1237291,1250538,326755,179517,147238,342633,172408,170225,438674,216253,222421,882062,408265,473797
27,대구,2016,2484557,1234169,1250388,329927,180511,149416,333768,168980,164788,431822,212242,219580,907877,421086,486791
27,대구,2017,2475231,1227814,1247417,332212,180803,151409,324015,165043,158972,421146,207430,213716,935059,433213,501846
