"행정구역","2016년_계_총인구수","2016년_계_연령구간인구수","2016년_계_0~4세","2016년_남_총인구수","2016년_남_연령구간인구수","2016년_남_0~4세","2016년_여_총인구수","2016년_여_연령구간인구수","2016년_여_0~4세","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~4세","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~4세","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~4세","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~4세","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~4세","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~4세"
"경상북도 상주시 화남면(4725047000)","857","9","9","413","5","5","444","4","4","843","8","8","412","3","3","431","5","5","821","8","8","394","3","3","427","5","5"
"경상북도 상주시 남원동(4725052000)","12,084","392","392","5,899","208","208","6,185","184","184","12,492","445","445","6,063","239","239","6,429","206","206","12,820","467","467","6,228","235","235","6,592","232","232"
"경상북도 상주시 북문동(4725053000)","9,633","506","506","4,794","264","264","4,839","242","242","9,635","478","478","4,797","235","235","4,838","243","243","9,622","434","434","4,803","226","226","4,819","208","208"
"경상북도 상주시 계림동(4725054000)","8,031","284","284","3,870","162","162","4,161","122","122","7,803","243","243","3,755","147","147","4,048","96","96","7,555","220","220","3,600","132","132","3,955","88","88"
"경상북도 상주시 동문동(4725055000)","8,723","294","294","4,309","157","157","4,414","137","137","8,513","263","263","4,174","140","140","4,339","123","123","8,451","243","243","4,135","126","126","4,316","117","117"
"경상북도 상주시 동성동(4725056000)","4,106","119","119","2,029","65","65","2,077","54","54","3,979","92","92","1,965","53","53","2,014","39","39","3,902","88","88","1,931","57","57","1,971","31","31"
"경상북도 상주시 신흥동(4725057000)","9,410","424","424","4,687","212","212","4,723","212","212","9,266","395","395","4,616","193","193","4,650","202","202","9,252","389","389","4,594","193","193","4,658","196","196"
"경상북도 문경시 (4728000000)","74,702","2,412","2,412","36,537","1,260","1,260","38,165","1,152","1,152","73,294","2,159","2,159","35,907","1,114","1,114","37,387","1,045","1,045","71,874","1,889","1,889","35,174","958","958","36,700","931","931"
"경상북도 문경시 문경읍(4728025000)","6,089","135","135","2,948","64","64","3,141","71","71","6,004","134","134","2,879","66","66","3,125","68","68","5,859","106","106","2,813","48","48","3,046","58","58"
"경상북도 문경시 문경읍갈평출장소(4728025100)","1,177","27","27","576","13","13","601","14","14","1,168","26","26","587","12","12","581","14","14","1,133","22","22","567","10","10","566","12","12"
"경상북도 문경시 가은읍(4728025300)","3,301","48","48","1,582","22","22","1,719","26","26","3,256","43","43","1,565","18","18","1,691","25","25","3,186","44","44","1,532","19","19","1,654","25","25"
"경상북도 문경시 가은읍북부출장소(4728025400)","860","8","8","427","2","2","433","6","6","841","8","8","422","3","3","419","5","5","812","7","7","413","4","4","399","3","3"
"경상북도 문경시 영순면(4728031000)","2,584","40","40","1,341","24","24","1,243","16","16","2,418","33","33","1,259","20","20","1,159","13","13","2,447","31","31","1,267","17","17","1,180","14","14"
"경상북도 문경시 산양면(4728032000)","3,281","89","89","1,610","52","52","1,671","37","37","3,226","75","75","1,598","45","45","1,628","30","30","3,148","54","54","1,567","33","33","1,581","21","21"
"경상북도 문경시 호계면(4728033000)","2,605","30","30","1,269","10","10","1,336","20","20","2,548","31","31","1,233","15","15","1,315","16","16","2,467","26","26","1,180","14","14","1,287","12","12"
"경상북도 문경시 산북면(4728034000)","2,943","43","43","1,452","26","26","1,491","17","17","2,871","37","37","1,421","23","23","1,450","14","14","2,802","33","33","1,384","18","18","1,418","15","15"
"경상북도 문경시 동로면(4728035000)","1,958","56","56","989","30","30","969","26","26","1,937","57","57","973","33","33","964","24","24","1,897","42","42","960","27","27","937","15","15"
"경상북도 문경시 마성면(4728036000)","3,794","52","52","1,822","24","24","1,972","28","28","3,718","43","43","1,770","16","16","1,948","27","27","3,622","36","36","1,726","13","13","1,896","23","23"
"경상북도 문경시 농암면(4728037000)","2,725","59","59","1,269","31","31","1,456","28","28","2,638","43","43","1,215","22","22","1,423","21","21","2,586","34","34","1,197","16","16","1,389","18","18"
"경상북도 문경시 점촌1동(4728057000)","5,860","161","161","2,876","93","93","2,984","68","68","5,667","147","147","2,783","74","74","2,884","73","73","5,572","130","130","2,722","64","64","2,850","66","66"
"경상북도 문경시 점촌2동(4728058000)","7,919","273","273","3,845","136","136","4,074","137","137","7,603","239","239","3,674","115","115","3,929","124","124","7,385","219","219","3,593","105","105","3,792","114","114"
"경상북도 문경시 점촌3동(4728059000)","9,773","365","365","4,836","186","186","4,937","179","179","9,673","342","342","4,807","178","178","4,866","164","164","9,497","300","300","4,721","163","163","4,776","137","137"
"경상북도 문경시 점촌4동(4728060000)","3,368","90","90","1,659","48","48","1,709","42","42","3,257","67","67","1,616","35","35","1,641","32","32","3,153","50","50","1,561","26","26","1,592","24","24"
"경상북도 문경시 점촌5동(4728061000)","16,465","936","936","8,036","499","499","8,429","437","437","16,469","834","834","8,105","439","439","8,364","395","395","16,308","755","755","7,971","381","381","8,337","374","374"
"경상북도 경산시 (4729000000)","258,037","12,088","12,088","130,060","6,111","6,111","127,977","5,977","5,977","259,485","11,408","11,408","130,775","5,817","5,817","128,710","5,591","5,591","261,093","10,753","10,753","131,537","5,470","5,470","129,556","5,283","5,283"
"경상북도 경산시 하양읍(4729025000)","26,157","889","889","13,120","470","470","13,037","419","419","26,728","901","901","13,430","465","465","13,298","436","436","26,482","835","835","13,394","427","427","13,088","408","408"
"경상북도 경산시 진량읍(4729025300)","37,698","1,642","1,642","19,528","843","843","18,170","799","799","37,099","1,467","1,467","19,196","752","752","17,903","715","715","36,703","1,312","1,312","18,928","659","659","17,775","653","653"
"경상북도 경산시 와촌면(4729031000)","6,352","100","100","3,405","53","53","2,947","47","47","6,495","121","121","3,479","61","61","3,016","60","60","6,399","109","109","3,415","62","62","2,984","47","47"
"경상북도 경산시 자인면(4729033000)","6,089","106","106","3,114","58","58","2,975","48","48","5,936","97","97","3,041","50","50","2,895","47","47","5,740","68","68","2,932","33","33","2,808","35","35"
